City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,Nizwá,22.9333,57.5333,300.92,34,6,1.71,OM,1635012221
208,Necochea,-38.5473,-58.7368,289.84,57,87,8.83,AR,1635012221
209,Rumoi,43.9344,141.6428,280.98,75,70,1.48,JP,1635012221
210,Touros,-5.1989,-35.4608,303.65,57,29,5.68,BR,1635012222
211,Coquimbo,-29.9533,-71.3436,289.73,66,0,5.27,CL,1635012036
212,Cap Malheureux,-19.9842,57.6142,297.3,74,3,2.68,MU,1635012222
213,Ribeira Grande,38.5167,-28.7,295.37,60,20,3.09,PT,1635012222
214,Rigaud,45.4793,-74.3024,282.54,61,100,2.69,CA,1635012223
215,Lompoc,34.6391,-120.4579,293.2,62,1,5.14,US,1635012181
216,Ducheng,23.2373,111.5317,288.19,80,42,0.79,CN,1635012223
217,Kenai,60.5544,-151.2583,278.79,87,100,4.14,US,1635012224
218,Greenwood,34.1668,-82.1165,296.01,56,1,2.06,US,1635012224
219,Warner Robins,32.621,-83.5999,297.13,40,1,0.89,US,1635011951
220,Arrondissement de Limoges,45.75,1.3333,283.46,66,0,3.6,FR,1635012006
221,Abu Dhabi,24.4667,54.3667,302.69,61,0,4.08,AE,1635012009
222,Slonim,53.0867,25.3219,278.39,84,75,5.2,BY,1635012225
223,Natal,-5.795,-35.2094,303.51,62,20,7.2,BR,1635012225
224,Gao,16.6362,1.637,306.22,27,94,1.48,ML,1635012225
225,Lavrentiya,65.5833,-171.0,268.84,85,100,4.34,RU,1635012161
226,Yar-Sale,66.8333,70.8333,272.5,89,100,4.63,RU,1635012226
227,Plettenberg Bay,-34.0527,23.3716,287.36,79,44,5.62,ZA,1635012226
228,Lima,-12.0432,-77.0282,292.67,40,34,0.45,PE,1635012146
229,Prince Rupert,54.3161,-130.3201,279.7,88,100,4.94,CA,1635012226
230,Khatanga,71.9667,102.5,261.1,92,100,7.78,RU,1635012227
231,Bereda,43.2686,-7.5406,286.01,75,100,1.01,ES,1635012227
232,Yarim,14.298,44.3779,286.75,30,83,4.08,YE,1635012227
233,Sitka,57.0531,-135.33,279.39,91,100,2.11,US,1635012101
234,Rocha,-34.4833,-54.3333,288.87,77,100,1.09,UY,1635012228
235,Durban,-29.8579,31.0292,294.83,78,22,7.15,ZA,1635012137
236,Yuzhne,46.6221,31.1013,285.27,64,78,3.47,UA,1635012228
237,Itoman,26.1247,127.6694,296.16,60,75,3.6,JP,1635012229
238,Isangel,-19.55,169.2667,297.13,87,87,5.08,VU,1635012229
239,Grand Gaube,-20.0064,57.6608,297.25,74,3,2.68,MU,1635012229
240,Coahuayana Viejo,18.7333,-103.6833,304.46,61,98,1.55,MX,1635012230
241,Campeche,19.0,-90.5,306.64,40,91,1.92,MX,1635012230
242,Hilo,19.7297,-155.09,296.07,96,90,2.57,US,1635011960
243,Half Moon Bay,37.4636,-122.4286,291.51,76,1,4.12,US,1635012015
244,Marawi,7.9986,124.2928,292.95,92,100,2.02,PH,1635012230
245,Vostok,46.4856,135.8833,271.42,90,0,2.72,RU,1635012231
246,Springdale,36.1867,-94.1288,299.0,68,75,5.36,US,1635012231
247,Thompson,55.7435,-97.8558,275.54,74,100,1.58,CA,1635012231
248,Whitehorse,60.7161,-135.0538,276.49,80,99,4.92,CA,1635012232
249,Khorixas,-20.3667,14.9667,296.07,15,0,5.43,NA,1635012232
250,College,64.8569,-147.8028,273.82,88,72,1.46,US,1635012110
251,Vestmannaeyjar,63.4427,-20.2734,281.7,93,75,4.12,IS,1635012232
252,Intipucá,13.1969,-88.0544,304.76,58,83,1.62,SV,1635012233
253,Bonavista,48.6499,-53.1147,285.03,99,100,4.95,CA,1635012219
254,Inuvik,68.3499,-133.7218,270.57,93,75,1.03,CA,1635012198
255,Talā,30.6803,30.9429,292.33,64,0,3.78,EG,1635012233
256,Les Cayes,18.2,-73.75,303.11,63,18,5.8,HT,1635012233
257,Inta,66.0317,60.1659,269.62,91,99,7.03,RU,1635012234
258,Cidreira,-30.1811,-50.2056,295.83,73,80,4.19,BR,1635012234
259,New Norfolk,-42.7826,147.0587,284.07,82,100,1.79,AU,1635012234
260,Baní,18.2833,-70.3333,304.68,60,30,5.75,DO,1635012235
261,Camacha,33.0833,-16.3333,293.57,64,40,5.14,PT,1635012235
262,Qiongshan,20.0058,110.3542,295.02,84,95,4.85,CN,1635012235
263,Nuuk,64.1835,-51.7216,271.49,54,75,4.63,GL,1635012236
264,Maniitsoq,65.4167,-52.9,270.01,50,72,3.29,GL,1635012236
265,Bengkulu,-3.8004,102.2655,297.47,90,61,1.66,ID,1635012193
266,Tefé,-3.3542,-64.7114,307.62,45,62,1.21,BR,1635012237
267,Ṭikāpur,28.5,81.1333,294.34,86,0,1.68,NP,1635012237
268,Maningrida,-12.0667,134.2667,300.43,78,51,2.83,AU,1635012237
269,Kilindoni,-7.9139,39.6668,299.02,75,14,6.88,TZ,1635012237
270,Kavieng,-2.5744,150.7967,300.98,76,72,6.44,PG,1635012238
271,Norman Wells,65.282,-126.8329,273.39,85,68,1.29,CA,1635012238
272,Taoudenni,22.6783,-3.9836,304.84,17,0,1.88,ML,1635012230
273,Handan,36.6006,114.4678,284.78,67,74,2.13,CN,1635012238
274,Iqaluit,63.7506,-68.5145,272.98,77,67,1.84,CA,1635012239
275,Salalah,17.0151,54.0924,298.69,67,12,1.58,OM,1635012113
276,Morón,-34.6534,-58.6198,295.34,60,79,5.19,AR,1635012161
277,Keetmanshoop,-26.5833,18.1333,288.0,53,46,7.8,NA,1635012239
278,Hofn,64.2539,-15.2082,280.36,92,100,4.01,IS,1635012240
279,Nanortalik,60.1432,-45.2371,275.52,73,35,2.1,GL,1635012240
280,Tonantins,-2.8731,-67.8022,307.99,41,39,1.15,BR,1635012240
281,Quatre Cocos,-20.2078,57.7625,297.09,80,14,4.7,MU,1635012241
282,Shetpe,44.1667,52.1167,285.73,18,1,4.57,KZ,1635011995
283,Tiksi,71.6872,128.8694,254.14,100,98,2.15,RU,1635012107
284,Kruisfontein,-34.0033,24.7314,288.09,69,6,8.0,ZA,1635012242
285,Faya,18.3851,42.4509,290.5,38,6,2.32,SA,1635012242
286,Mahibadhoo,3.7833,72.9667,301.37,72,45,6.39,MV,1635012243
287,Griffith,41.5284,-87.4237,286.98,50,1,0.89,US,1635012243
288,Jawor,51.0513,16.1935,280.98,79,26,4.32,PL,1635012136
289,Poum,-20.2333,164.0167,296.31,80,5,6.07,NC,1635012244
